outlets,avg_rating,median_rating,latitude,longitude,segment_diversity
4,4.175,4.25,13.05,80.2121,-0.0
4,2.975,3.0,12.6208,80.1945,0.2704260414863776
4,3.675,3.7,13.0455,80.2599,-0.0
4,3.5,3.45,13.1915,80.1861,0.33333333333333337
4,4.0,4.0,13.0067,80.2206,0.2704260414863776
3,4.266666666666667,4.3,13.0569,80.2425,0.3060986113514965
3,4.266666666666667,4.3,12.837200000000001,79.7042,-0.0
3,3.9333333333333336,4.0,12.901000000000002,80.2279,-0.0
3,3.3666666666666667,3.6,13.0732,80.2609,0.3060986113514965
3,3.6666666666666665,3.8,13.0732,80.2609,0.3060986113514965
3,2.966666666666667,3.0,12.6819,79.9888,-0.0
3,3.766666666666667,3.6,13.0418,80.2341,0.5283208335737187
3,3.8333333333333335,3.8,12.914,80.2294,-0.0
3,3.9,4.1,13.0368,80.2676,-0.0
3,3.9333333333333336,4.0,13.0216,80.1807,-0.0
